folder	timestamp	eval_file	answer_relevancy	context_precision	faithfulness	context_recall	LLM_PROVIDER	LLM_MODEL	EMBEDDINGS_PROVIDER	EMBEDDINGS_MODEL	TEXT_SPLITTER_METHOD	TEXT_SPLITTER_METHOD_PARENT	CHAIN_NAME	CHAIN_TYPE	SEARCH_TYPE	SCORE_THRESHOLD	VECDB_TYPE	CHUNK_SIZE	CHUNK_SIZE_PARENT	CHUNK_K	CHUNK_K_PARENT	CHUNK_OVERLAP	CHUNK_OVERLAP_PARENT	RETRIEVER_TYPE	MULTIQUERY	RETRIEVER_PROMPT_TEMPLATE	SUMMARIZER_CENTROIDS	SUMMARIZER_CENTROID_NEIGHBORS	ragas_score	LLM_TYPE	LLM_MODEL_TYPE
pbl_verhuismotieven	2024-08-26 13:38:57.575571	eval.json	0.7809926933987016	0.8611111110719001	0.5946969696969697	0.3782608695652174	openai	gpt-3.5-turbo	openai	text-embedding-ada-002	NLTKTextSplitter	NLTKTextSplitter	conversationalretrievalchain	stuff	similarity_score_threshold	0.8	chromadb	200.0	1000.0	4.0	4.0	0.0	200.0	parent	False	openai_rag	4.0	3.0			
pbl_verhuismotieven	2023-11-05 17:45:22.886056		0.8919679017924216	0.1739130434782608	1.0	1.0			openai	text-embedding-ada-002			conversationalretrievalchain	stuff	similarity		chromadb	1000.0		4.0		200.0							0.4509015258351045	chatopenai	gpt35
pbl_verhuismotieven	2023-11-05 17:00:24.694321		0.8322088208482528	0.2019902997623004	0.7652173913043478	0.4734299516908212			openai	text-embedding-ada-002			conversationalretrievalchain	stuff	similarity		chromadb	1000.0		4.0		200.0							0.4179109375249589	chatopenai	gpt35
pbl_verhuismotieven	2023-11-05 15:25:15.758327		0.8396873556745375	0.2008336403583402	0.8376811594202899	0.4516908212560386			openai	text-embedding-ada-002			conversationalretrievalchain	stuff	similarity		chromadb	1000.0		4.0		200.0							0.4176306837879636	chatopenai	gpt35
pbl_verhuismotieven	2023-11-02 13:14:42.896207		0.9781713295240168	0.0434782608695652	1.0	1.0			openai	text-embedding-ada-002			conversationalretrievalchain	stuff	similarity		chromadb	1000.0		4.0		200.0							0.1537142209622108	chatopenai	gpt35
pbl_verhuismotieven	2023-11-02 13:06:34.401393		1.0000000000000002	0.1304347826086956	1.0	1.0			openai	text-embedding-ada-002			conversationalretrievalchain	stuff	similarity		chromadb	1000.0		4.0		200.0							0.375	chatopenai	gpt35
pbl_verhuismotieven	2023-11-02 11:40:24.652835		1.0000000000000002	0.0434782608695652	1.0	1.0			openai	text-embedding-ada-002			conversationalretrievalchain	stuff	similarity		chromadb	1000.0		4.0		200.0							0.1538461538461538	chatopenai	gpt35
pbl_verhuismotieven	2023-11-01 12:35:21.995927		0.844350507636638	0.2076339629674003	0.8304347826086957	0.5125603864734299			openai	text-embedding-ada-002			conversationalretrievalchain	stuff	similarity		chromadb	1000.0		4.0		200.0							0.4368868764325821	chatopenai	gpt35
pbl_verhuismotieven	2023-10-31 18:35:37.701546		0.8311383375544505	0.2346154181520194	0.7652173913043478	0.5169082125603864			openai	text-embedding-ada-002			conversationalretrievalchain	stuff	similarity		chromadb	1000.0		4.0		200.0							0.4594078040236202	chatopenai	gpt35
pbl_verhuismotieven	2023-10-28 18:41:29.242425		0.8383442211296431	0.2420113732605319	0.7753623188405798	0.4171842650103519			openai	text-embedding-ada-002			conversationalretrievalchain	stuff	similarity		chromadb	2000.0		2.0		200.0							0.4438720161883089	chatopenai	gpt35
pbl_verhuismotieven	2023-10-28 18:16:37.959189		0.8434510404265358	0.2086727583937109	0.7342995169082126	0.3043478260869565			openai	text-embedding-ada-002			conversationalretrievalchain	stuff	similarity		chromadb	2000.0		2.0		200.0							0.3764580444812318	chatopenai	gpt35
