folder	timestamp	eval_file	answer_relevancy	context_precision	faithfulness	context_recall	TEXT_SPLITTER_METHOD	CHUNK_SIZE	CHUNK_K	CHUNK_OVERLAP	EMBEDDINGS_PROVIDER	EMBEDDINGS_MODEL	SEARCH_TYPE	SCORE_THRESHOLD	RETRIEVER_TYPE	TEXT_SPLITTER_METHOD_CHILD	CHUNK_SIZE_CHILD	CHUNK_K_CHILD	CHUNK_OVERLAP_CHILD	RETRIEVER_WEIGHTS	MULTIQUERY	RERANK	RERANK_PROVIDER	RERANK_MODEL	CHUNK_K_FOR_RERANK	LLM_PROVIDER	LLM_MODEL	EVALUATION_EMBEDDINGS_PROVIDER	EVALUATION_EMBEDDINGS_MODEL	EVALUATION_LLM_PROVIDER	EVALUATION_LLM_MODEL	RETRIEVER_PROMPT_TEMPLATE	CHUNK_K_FOR_RERANK
NBSAP_tr	2025-03-14 17:21:24.780878	PBL_biod_NBSAP_small.json	0.0	0.0	1.0	0.0	NLTKTextSplitter	1000.0	8.0	200.0	azureopenai	text-embedding-ada-002	similarity_score_threshold	0.75	vectorstore	NLTKTextSplitter	200.0	8.0	0.0	[0.7, 0.3]	False	False	flashrank_rerank	ms-marco-MultiBERT-L-12	10.0	azureopenai	gpt-4o	azureopenai	text-embedding-ada-002	azureopenai	gpt-4o	openai_rag	10.0
			0.0	0.0	0.5	0.0																											
