folder	timestamp	ragas_score	answer_relevancy	context_precision	faithfulness	context_recall	LLM_TYPE	LLM_MODEL_TYPE	EMBEDDINGS_PROVIDER	EMBEDDINGS_MODEL	CHAIN_NAME	CHAIN_TYPE	SEARCH_TYPE	VECDB_TYPE	CHUNK_SIZE	CHUNK_OVERLAP	CHUNK_K
verzamelbrief-luchtvaart	2023-11-05 17:46:29.995990	0.4135447667534126	0.8185119030249188	0.1875	0.65	0.6333333333333333	chatopenai	gpt35	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
verzamelbrief-luchtvaart	2023-11-02 13:15:35.701797	0.5960077630639242	0.8255443368531163	0.375	0.75	0.6666666666666666	chatopenai	gpt35	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
verzamelbrief-luchtvaart	2023-11-02 13:07:11.156465	0.4178194650586639	0.7852296372986652	0.2083333333333333	0.5	0.6666666666666666	chatopenai	gpt35	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
verzamelbrief-luchtvaart	2023-11-02 11:41:09.635925	0.3734353603293746	0.8255194862343479	0.1666666666666666	0.5	0.6666666666666666	chatopenai	gpt35	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
