folder	timestamp	ragas_score	answer_relevancy	context_precision	faithfulness	context_recall	LLM_TYPE	LLM_MODEL_TYPE	EMBEDDINGS_PROVIDER	EMBEDDINGS_MODEL	CHAIN_NAME	CHAIN_TYPE	SEARCH_TYPE	VECDB_TYPE	CHUNK_SIZE	CHUNK_OVERLAP	CHUNK_K
maggy_cv	2023-11-05 17:45:41.524794	0.35167879710523675	0.9609084079835151	0.16666666666666666	0.75	0.3333333333333333	chatopenai	gpt35	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
maggy_cv	2023-11-03 13:52:53.225207	0.2538010524389029	0.9430617611938654	0.1111111111111111	0.8333333333333334	0.2222222222222222	chatopenai	gpt35	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
maggy_cv	2023-11-02 13:14:53.962830	0.2580037014978856	0.9963597599972474	0.0833333333333333	1.0	0.6666666666666666	chatopenai	gpt35	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
maggy_cv	2023-11-02 13:06:46.072359	0.258002735431691	0.996302133281526	0.0833333333333333	1.0	0.6666666666666666	chatopenai	gpt35	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
maggy_cv	2023-11-02 11:40:34.775684	0.2666006323374795	0.9962984016926798	0.0833333333333333	1.0	1.0	chatopenai	gpt35	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
maggy_cv	2023-11-02 10:45:17.954597	0.0935436749891743	0.942707352524753	0.0277777777777777	0.8333333333333334	0.2222222222222222	chatopenai	gpt35	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
maggy_cv	2023-11-02 10:21:42.534255	0.0922415821028615	0.73292792195118	0.0277777777777777	0.6666666666666666	0.2222222222222222	huggingface	GoogleFlan	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
maggy_cv	2023-11-02 09:52:48.182264	0.2447861719198885	0.7458276568629961	0.1111111111111111	0.6666666666666666	0.2222222222222222	hugging_face	GoogleFlan	openai	text-embedding-ada-002	conversationalretrievalchain	stuff	similarity	chromadb	1000	200	4
